ID,Fecha,tipo_de_violencia_fisica,tipo_de_violencia_psicologica,tipo_de_violencia_sexual,tipo_de_violencia_economica_y_patrimonial,tipo_de_violencia_simbolica,tipo_de_violencia_domestica,modalidad_de_violencia_institucional,modalidad_de_violencia_laboral,modalidad_violencia_contra_libertad_reproductiva,modalidad_de_violencia_obstetrica,modalidad_de_violencia_mediatica,modalidad_de_violencia_otras
2022000001,2022-01-01,Si,Si,No,No,No,Si,No,No,No,No,No,No
2022000002,2022-01-01,Si,Si,No,No,No,Si,No,No,No,No,No,No
2022000003,2022-01-01,Si,Si,No,Si,No,Si,No,No,No,No,No,No
2022000004,2022-01-01,Si,Si,No,No,No,Si,No,No,No,No,No,No
2022000005,2022-01-01,Si,Si,No,No,No,Si,No,No,No,No,No,No
2022000006,2022-01-01,Si,Si,No,No,No,Si,No,No,No,No,No,No
2022000007,2022-01-01,Si,Si,No,No,Si,Si,No,No,No,No,No,No
2022000008,2022-01-01,Si,Si,No,No,No,Si,No,No,No,No,No,No
2022000009,2022-01-01,Si,Si,No,Si,Si,Si,No,No,No,No,No,No
2022000010,2022-01-01,Si,Si,Si,No,No,No,No,No,No,No,No,No
2022000011,2022-01-01,Si,Si,No,Si,Si,Si,No,No,No,No,No,No
2022000012,2022-01-01,Si,Si,No,Si,No,Si,No,No,No,No,No,No
2022000013,2022-01-01,Si,Si,No,No,No,Si,No,No,No,No,No,No
2022000014,2022-01-01,Si,Si,No,No,No,Si,No,No,No,No,No,No
2022000015,2022-01-01,No,Si,No,Si,No,Si,No,No,No,No,No,No
2022000016,2022-01-01,Si,Si,No,Si,No,Si,No,No,No,No,No,No
2022000017,2022-01-01,Si,Si,No,No,No,Si,No,No,No,No,No,No
2022000018,2022-01-01,Si,Si,No,No,No,Si,No,No,No,No,No,No
2022000019,2022-01-01,Si,Si,No,Si,No,Si,No,No,No,No,No,No
2022000020,2022-01-01,Si,Si,No,No,No,Si,No,No,No,No,No,No
2022000021,2022-01-01,Si,Si,No,No,No,Si,No,No,No,No,No,No
