ID,ID_comu,genero_persona_en_situacion_de_violencia,edad_persona_en_situacion_de_violencia,prov_residencia_persona_en_situacion_violencia,pais_nacimiento_persona_en_situacion_de_violencia,vinculo_con_la_persona_agresora,genero_de_la_persona_agresora
242136,2022000001,Mujer,31,1,ARG,Pareja,Varon
242137,2022000002,Mujer,31,1,ARG,Otro familiar,Varon
242138,2022000003,Mujer,29,2,BOL,Ex pareja,Varon
242139,2022000004,Mujer,,1,,Pareja,Varon
242140,2022000005,Mujer,,1,,Pareja,Varon
242141,2022000006,Mujer,,1,,Pareja,Varon
242142,2022000007,Mujer,43,1,ARG,Pareja,Varon
242143,2022000008,Mujer,30,1,PRY,Ex pareja,Varon
242144,2022000009,Mujer,27,22,ARG,Pareja,Varon
242145,2022000010,Mujer,,21,,Otro,Varon
242146,2022000011,Mujer,34,1,PRY,Pareja,Varon
242147,2022000012,Mujer,31,1,ARG,Ex pareja,Varon
242148,2022000013,Mujer,,21,,Pareja,Varon
242149,2022000014,Mujer,,1,,Pareja,Varon
242150,2022000015,Mujer,28,7,,Pareja,
242151,2022000016,Mujer,24,1,,Pareja,Varon
242152,2022000017,Mujer,35,1,,Pareja,Varon
242153,2022000018,Mujer,,1,,Pareja,Varon
242154,2022000019,Mujer,28,24,ARG,Pareja,Varon
242155,2022000020,Mujer,29,12,,Pareja,Varon
242156,2022000021,Mujer,,16,,Pareja,Varon
242157,2022000022,Mujer,,7,ARG,Ex pareja,Varon
242158,2022000023,Mujer,,1,,Pareja,Varon
242159,2022000024,Mujer,29,2,ARG,Ex pareja,Varon
242160,2022000025,Mujer,61,24,ARG,Otro familiar,Varon
242161,2022000026,Mujer,30,15,ARG,Ex pareja,Varon
242162,2022000027,Mujer,22,10,ARG,Ex pareja,Varon
242163,2022000028,Mujer,,1,,Pareja,Varon
242164,2022000029,Mujer,,21,,Pareja,Varon
242165,2022000030,Mujer,48,24,ARG,Pareja,Varon
242166,2022000031,Mujer,25,1,ARG,Pareja,Varon
242167,2022000032,Mujer,31,1,ARG,Ex pareja,Varon
242168,2022000033,Mujer,,1,ARG,Pareja,
242169,2022000034,Mujer,28,1,ARG,Ex pareja,Varon
242170,2022000035,Mujer,42,19,ARG,Superior jerarquico,Varon
242171,2022000036,Mujer,25,1,,Pareja,Varon
242172,2022000037,Mujer,,6,ARG,Pareja,Varon
242173,2022000038,Mujer,22,16,ARG,Ex pareja,Varon
242174,2022000039,Mujer,27,1,ARG,Ex pareja,
242175,2022000040,Mujer,33,21,ARG,Pareja,Varon
242176,2022000041,Mujer,66,1,ARG,Pareja,Varon
242177,2022000042,Mujer,35,1,ARG,Pareja,Varon
242178,2022000043,Mujer,36,1,ARG,Pareja,Varon
242179,2022000044,Mujer,33,1,ARG,Ex pareja,Varon
242180,2022000045,Mujer,24,12,ARG,Pareja,Varon
242181,2022000046,Mujer,28,1,ARG,Ex pareja,Varon
242182,2022000047,Mujer,27,1,ARG,Pareja,Varon
242183,2022000048,Mujer,49,1,ARG,Otro familiar,Varon
242184,2022000049,Mujer,24,1,ARG,Pareja,Varon
242185,2022000050,Mujer,39,1,ARG,Ex pareja,Varon
242186,2022000051,Mujer,,2,,Pareja,Varon
242187,2022000052,Mujer,27,2,ARG,Pareja,Varon
242188,2022000053,Mujer,,1,,Ex pareja,Varon
242189,2022000054,Mujer,30,1,COL,Ex pareja,Varon
242190,2022000055,Mujer,41,1,,Ex pareja,Varon
242191,2022000056,Mujer,37,2,,Ex pareja,Varon
242192,2022000057,Mujer,37,1,ARG,Ex pareja,Varon
242193,2022000058,Mujer,35,2,ARG,Ex pareja,Varon
242194,2022000059,Mujer,94,2,,Otro familiar,Mujer
242195,2022000060,Mujer,55,2,,Ex pareja,Varon
242196,2022000061,Mujer,,2,ARG,Ex pareja,
242197,2022000062,Mujer,,,,Pareja,Varon
242198,2022000063,Mujer,,2,,Ex pareja,Varon
242199,2022000064,Mujer,69,1,ARG,Otro familiar,Varon
242200,2022000065,Mujer,25,21,ARG,Ex pareja,Varon
242201,2022000066,Mujer,22,10,ARG,Pareja,Varon
242202,2022000067,Mujer,,6,,Ex pareja,Varon
242203,2022000068,Mujer,,1,,Pareja,Varon
242204,2022000069,Mujer,36,24,ARG,Pareja,Varon
242205,2022000070,Mujer,,1,ARG,Pareja,Varon
242206,2022000071,Mujer,25,1,ARG,Pareja,Varon
242207,2022000072,Mujer,,6,,Pareja,Varon
242208,2022000073,Mujer,66,4,,Otro,Varon
242209,2022000074,Mujer,52,18,ARG,Ex pareja,Varon
242210,2022000075,Mujer,35,13,ARG,Ex pareja,Varon
242211,2022000076,Mujer,42,1,ARG,Ex pareja,Varon
242212,2022000077,Mujer,44,21,ARG,Pareja,
242213,2022000078,Mujer,29,1,,Pareja,Varon
242214,2022000079,Mujer,27,14,ARG,Ex pareja,Varon
242215,2022000080,Mujer,30,1,PRY,Otro,
242216,2022000081,Mujer,35,1,ARG,Ex pareja,Varon
242217,2022000082,Mujer,,1,,Ex pareja,Varon
242218,2022000083,Mujer,24,24,ARG,Pareja,Varon
242219,2022000084,Mujer,58,1,ARG,Pareja,Varon
242220,2022000085,Mujer,20,10,ARG,Pareja,Varon
242221,2022000086,Mujer,27,1,ARG,Pareja,Varon
242222,2022000087,Mujer,,21,ARG,Pareja,Varon
242223,2022000088,Mujer,24,1,ARG,Otro,Varon
242224,2022000089,Mujer,28,24,ARG,Ex pareja,Varon
242225,2022000090,Mujer,34,1,ARG,Pareja,Varon
242226,2022000091,Mujer,68,1,,Pareja,Varon
242227,2022000092,Mujer,42,16,ARG,Pareja,Varon
242228,2022000093,Mujer,24,21,ARG,Pareja,Varon
242229,2022000094,Mujer,42,1,ARG,Pareja,Varon
242230,2022000095,Mujer,39,18,ARG,Ex pareja,Varon
242231,2022000096,Mujer,47,1,ARG,Pareja,Varon
242232,2022000097,Mujer,30,7,ARG,Pareja,Varon
242233,2022000098,Mujer,51,13,,Pareja,Varon
242234,2022000099,Mujer,,12,,Pareja,Varon
242235,2022000100,Mujer,20,1,ARG,Pareja,Varon
242236,2022000101,Mujer,34,1,ARG,Pareja,Varon
242237,2022000102,Mujer,45,1,,Ex pareja,Varon
242238,2022000103,Mujer,,1,,Pareja,Varon
242239,2022000104,Mujer,34,1,ARG,Pareja,Varon
242240,2022000105,Mujer,,1,ARG,Ex pareja,Varon
242241,2022000106,Mujer,43,1,,Ex pareja,Varon
242242,2022000107,Mujer,39,1,,Pareja,Varon
242243,2022000108,Mujer,31,1,ARG,Pareja,Varon
242244,2022000109,Mujer,14,1,ARG,Pareja,Varon
242245,2022000110,Mujer,,1,ARG,Ex pareja,Varon
242246,2022000111,Mujer,26,1,ARG,Pareja,Varon
242247,2022000112,Mujer,29,1,ARG,Pareja,Varon
242248,2022000113,Mujer,26,1,ARG,Pareja,Varon
242249,2022000114,Mujer,59,1,,Ex pareja,Varon
242250,2022000115,Mujer,33,1,ARG,Pareja,Varon
242251,2022000116,Mujer,40,1,,Pareja,Varon
242252,2022000117,Mujer,,1,,Pareja,Varon
242253,2022000118,Mujer,,,,Pareja,Varon
242254,2022000119,Mujer,39,2,,,
242255,2022000120,Mujer,30,2,ARG,Ex pareja,Varon
242256,2022000121,Mujer,52,2,ARG,Ex pareja,Varon
242257,2022000122,Mujer,40,1,ARG,Pareja,Varon
242258,2022000123,Mujer,85,2,ARG,Pareja,Varon
242259,2022000124,Mujer,45,1,ARG,Ex pareja,Varon
242260,2022000125,Mujer,50,2,PER,Pareja,Varon
242261,2022000126,Mujer,,2,,Ex pareja,Varon
242262,2022000127,Mujer,30,2,ARG,,Varon
242263,2022000128,Mujer,47,2,,Pareja,Varon
242264,2022000129,Mujer,35,2,ARG,Ex pareja,Varon
242265,2022000130,Mujer,34,2,ARG,Ex pareja,Varon
242266,2022000131,Mujer,54,2,ARG,Otro,Varon
242267,2022000132,Mujer,54,1,ARG,Ex pareja,Varon
242268,2022000133,Mujer,,2,,Pareja,
242269,2022000134,Mujer,26,1,ARG,Ex pareja,
242270,2022000135,Mujer,44,1,ARG,Pareja,Varon
242271,2022000136,Mujer,27,1,,Pareja,Varon
242272,2022000137,Mujer,12,5,,Otro,
242273,2022000138,Mujer,,15,,Ex pareja,Varon
242274,2022000139,Mujer,,1,,Pareja,Varon
242275,2022000140,Mujer,34,21,,Ex pareja,Varon
242276,2022000141,Mujer,,1,ARG,Otro familiar,Varon
242277,2022000142,Mujer,,1,ARG,Ex pareja,Varon
242278,2022000143,Mujer,29,4,ARG,,
242279,2022000144,Mujer,38,17,ARG,Ex pareja,Varon
242280,2022000145,Mujer,27,12,,Ex pareja,
242281,2022000146,Mujer,49,1,PRY,Pareja,Varon
242282,2022000147,Mujer,,1,ARG,Ex pareja,Varon
242283,2022000148,Mujer,,13,ARG,Ex pareja,Varon
242284,2022000149,Mujer,27,24,ARG,Ex pareja,Varon
242285,2022000150,Mujer,36,1,ARG,Ex pareja,Varon
242286,2022000151,Mujer,35,1,ARG,Ex pareja,Varon
242287,2022000152,Mujer,42,1,,Pareja,Varon
242288,2022000153,Mujer,,13,,Ex pareja,
242289,2022000154,Mujer,,13,ARG,Ex pareja,
242290,2022000155,Mujer,,16,,Padre o tutor,
242291,2022000156,Mujer,,1,,Ex pareja,
242292,2022000157,Mujer,24,13,ARG,Ex pareja,Varon
242293,2022000158,Mujer,21,1,ARG,,
242294,2022000159,Mujer,41,13,ARG,Pareja,Varon
242295,2022000160,Mujer,35,1,PRY,,
242296,2022000161,Mujer,33,1,ARG,Pareja,Varon
242297,2022000162,Mujer,,1,ARG,Ex pareja,Varon
242298,2022000163,Mujer,56,6,ARG,Pareja,
242299,2022000164,Mujer,57,1,ARG,Pareja,Varon
242300,2022000165,Mujer,25,22,ARG,Ex pareja,Varon
242301,2022000166,Mujer,33,1,ARG,Pareja,Varon
242302,2022000167,Mujer,18,1,ARG,Pareja,Varon
242303,2022000168,Mujer,67,1,,Otro familiar,Varon
242304,2022000169,Mujer,41,1,,Pareja,Varon
242305,2022000170,Mujer,35,1,ARG,Ex pareja,Varon
242306,2022000171,Mujer,32,1,ARG,Otro familiar,Varon
242307,2022000172,Mujer,41,1,ARG,Pareja,Varon
242308,2022000173,Mujer,20,1,ARG,Pareja,Varon
242309,2022000174,Mujer,64,1,ARG,Otro,Varon
242310,2022000175,Mujer,28,1,,Pareja,Varon
242311,2022000176,Mujer,38,1,ARG,Pareja,Varon
242312,2022000177,Mujer,34,1,ARG,Pareja,Varon
242313,2022000178,Mujer,28,1,ARG,Otro familiar,Varon
242314,2022000179,Mujer,21,1,ARG,Ex pareja,Varon
242315,2022000180,Mujer,20,1,,Otro familiar,Varon
242316,2022000181,Mujer,71,1,DOM,Otro,Varon
242317,2022000182,Mujer,43,1,ARG,Ex pareja,Varon
242318,2022000183,Mujer,17,1,ARG,Pareja,Varon
242319,2022000184,Mujer,26,1,,Ex pareja,Varon
242320,2022000185,Mujer,39,1,,Pareja,Varon
242321,2022000186,Mujer,18,1,,Ex pareja,Varon
242322,2022000187,Mujer,17,1,ARG,Pareja,Varon
242323,2022000188,Mujer,25,1,BOL,Ex pareja,Varon
242324,2022000189,Mujer,31,1,,Ex pareja,Varon
242325,2022000190,Mujer,36,1,ARG,Ex pareja,Varon
242326,2022000191,Mujer,26,2,ARG,Ex pareja,
242327,2022000192,Mujer,37,2,ARG,Ex pareja,Varon
242328,2022000193,Mujer,41,2,,Pareja,Varon
242329,2022000194,Mujer,33,2,COL,Ex pareja,Varon
242330,2022000195,Mujer,24,,PRY,Pareja,Varon
242331,2022000196,Mujer,,2,,Ex pareja,Varon
242332,2022000197,,80,2,ARG,Pareja,Varon
242333,2022000198,Mujer,47,2,,Ex pareja,Varon
242334,2022000199,Mujer,37,1,ARG,Pareja,Varon
242335,2022000200,Mujer,32,24,ARG,Ex pareja,Varon
242336,2022000201,Mujer,,1,,Ex pareja,
242337,2022000202,Mujer,41,13,,Pareja,Varon
242338,2022000203,Mujer,,1,,Pareja,
242339,2022000204,Mujer,60,3,ARG,Otro familiar,Varon
242340,2022000205,Mujer,31,1,PRY,Ex pareja,Varon
242341,2022000206,Mujer,28,1,ARG,Pareja,Varon
242342,2022000207,Mujer,27,1,,Ex pareja,
242343,2022000208,Mujer,44,1,ARG,Ex pareja,Varon
242344,2022000209,Mujer,26,1,ARG,Ex pareja,
242345,2022000210,Mujer,35,1,PER,,
242346,2022000211,Mujer,24,1,ARG,Pareja,Varon
242347,2022000212,Mujer,23,15,ARG,Ex pareja,Varon
242348,2022000213,Mujer,45,1,ARG,Ex pareja,Varon
242349,2022000214,Mujer,28,1,ARG,Ex pareja,Varon
242350,2022000215,Mujer,,1,,,
242351,2022000216,Mujer,,1,,,
242352,2022000217,Mujer,33,13,ARG,Ex pareja,Varon
242353,2022000218,Mujer,29,1,,Pareja,Varon
242354,2022000219,Mujer,,1,,Ex pareja,Varon
242355,2022000220,Mujer,31,1,,Ex pareja,Varon
242356,2022000221,Mujer,41,14,ARG,Ex pareja,Varon
242357,2022000222,Mujer,,2,,,
242358,2022000223,Mujer,43,1,ARG,Ex pareja,Varon
242359,2022000224,Mujer,29,10,,,
242360,2022000225,Mujer,38,5,ARG,Pareja,Varon
242361,2022000226,Mujer,50,22,ARG,Ex pareja,Varon
242362,2022000227,Mujer,26,24,ARG,Ex pareja,Varon
242363,2022000228,Mujer,56,1,ARG,Ex pareja,Varon
242364,2022000229,Mujer,62,1,,Otro familiar,Varon
242365,2022000230,Mujer,26,1,,Ex pareja,Varon
242366,2022000231,Mujer,28,1,ARG,Ex pareja,Varon
242367,2022000232,Mujer,21,1,ARG,Ex pareja,Varon
